IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
087404-12072021,12 Jul 2021,2021,17:36:03,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,W6,0,21000745,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523150,178850,,,London,Hammersmith,,,,,,,1,10,3520,1
087406-12072021,12 Jul 2021,2021,17:36:37,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W6,0,21000620,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523150,178950,,,London,Hammersmith,,,,,,,1,2,704,1
087414-12072021,12 Jul 2021,2021,17:37:49,17,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000686,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523850,179750,,,London,Hammersmith,,,,,,,1,2,704,1
087431-12072021,12 Jul 2021,2021,17:40:55,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,W6,0,21000620,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523150,178950,,,London,Hammersmith,,,,,,,1,2,704,1
087455-12072021,12 Jul 2021,2021,17:45:54,17,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W14,0,21000427,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,524150,179150,,,London,Hammersmith,,,,,1,1,1,1,352,1
087456-12072021,12 Jul 2021,2021,17:45:59,17,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W6,0,21000251,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179450,,,London,Hammersmith,757,Acton,,,1,1,1,,,2
087461-12072021,12 Jul 2021,2021,17:47:26,17,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W6,0,21000098,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179350,,,London,Hammersmith,406,Hammersmith,,,1,1,1,1,352,1
087462-12072021,12 Jul 2021,2021,17:47:28,17,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000382,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522550,179850,,,London,Hammersmith,811,Paddington,,,1,1,1,1,352,1
087465-12072021,12 Jul 2021,2021,17:47:54,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W6,0,21000283,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522550,179150,,,London,Hammersmith,,,,,1,1,1,,,1
087470-12072021,12 Jul 2021,2021,17:48:47,17,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000686,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523750,179750,,,London,Hammersmith,,,,,,,1,2,704,1
087475-12072021,12 Jul 2021,2021,17:49:37,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Within same building,,W12,0,21000382,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522450,179750,,,London,Hammersmith,,,,,,,1,2,704,1
087477-12072021,12 Jul 2021,2021,17:49:48,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000093,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179550,,,London,Chiswick,,,,,1,1,1,5,1760,1
087488-12072021,12 Jul 2021,2021,17:51:02,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W6,0,21000410,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523050,179350,,,London,Hammersmith,,,,,,,1,11,3872,1
087493-12072021,12 Jul 2021,2021,17:52:01,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000093,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179550,,,London,Chiswick,,,,,,,1,5,1760,1
087498-12072021,12 Jul 2021,2021,17:52:51,17,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W14,0,21000539,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523950,179250,,,London,Hammersmith,,,,,,,1,2,704,5
087511-12072021,12 Jul 2021,2021,17:55:00,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Within same building,,W6,0,21000867,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522450,178350,,,London,Hammersmith,,,,,,,1,3,1056,1
087512-12072021,12 Jul 2021,2021,17:55:07,17,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W14,0,21000529,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,524150,179150,,,London,Hammersmith,,,,,,,1,3,1056,2
087514-12072021,12 Jul 2021,2021,17:55:27,17,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000191,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522550,179650,,,London,Hammersmith,,,,,,,1,2,704,2
087518-12072021,12 Jul 2021,2021,17:56:49,17,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523450,179950,,,London,Hammersmith,,,,,,,1,2,704,1
087534-12072021,12 Jul 2021,2021,17:59:18,17,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W12,0,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523050,179650,,,London,Hammersmith,,,,,,,1,2,704,1
087564-12072021,12 Jul 2021,2021,18:04:05,18,Special Service,Special Service,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000067,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521850,179850,,,London,Hammersmith,,,,,,,1,2,704,1
087591-12072021,12 Jul 2021,2021,18:09:12,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000897,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523850,179750,,,London,Hammersmith,,,,,,,1,2,704,1
087599-12072021,12 Jul 2021,2021,18:10:39,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000897,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523850,179750,,,London,Hammersmith,,,,,,,1,1,352,1
087607-12072021,12 Jul 2021,2021,18:12:02,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,0,21000876,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522350,179650,,,London,Hammersmith,,,,,,,1,1,352,1
087627-12072021,12 Jul 2021,2021,18:15:20,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W12,0,21000876,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522350,179550,,,London,Hammersmith,,,,,,,1,3,1056,1
087628-12072021,12 Jul 2021,2021,18:15:25,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000235,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522650,179750,,,London,Hammersmith,,,,,,,1,4,1408,1
087661-12072021,12 Jul 2021,2021,18:21:14,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000226,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521750,179750,,,London,Acton,,,,,,,1,5,1760,1
087672-12072021,12 Jul 2021,2021,18:22:51,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000093,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179550,,,London,Chiswick,,,,,,,1,5,1760,1
087675-12072021,12 Jul 2021,2021,18:23:25,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W6,0,21000622,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522550,179150,,,London,Hammersmith,,,,,,,1,2,704,2
087677-12072021,12 Jul 2021,2021,18:23:48,18,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,In street outside gazetteer location,W6 7PS,W6,34157756,21000829,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523236,179250,523250,179250,51.4987706613,-0.2259842767,London,Hammersmith,888,Wandsworth,,,1,1,1,1,352,1
087680-12072021,12 Jul 2021,2021,18:24:31,18,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Single shop ,Correct incident location,W12 8LP,W12,34031084,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523637,179910,523650,179950,51.5046097,-0.2199909,London,Hammersmith,,,,,,,1,3,1056,1
087685-12072021,12 Jul 2021,2021,18:24:49,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Non Residential,Hairdresser ,Correct incident location,W12 8EG,W12,34146418,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,523154,179629,523150,179650,51.5021974079,-0.2270435412,London,Hammersmith,,,,,,,1,2,704,1
087691-12072021,12 Jul 2021,2021,18:25:54,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000093,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,522050,179550,,,London,Chiswick,,,,,,,1,5,1760,1
087695-12072021,12 Jul 2021,2021,18:27:02,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W12,0,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522350,180050,,,London,Hammersmith,,,,,,,1,3,1056,1
087698-12072021,12 Jul 2021,2021,18:27:20,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Non Residential,Takeaway/ fast food ,Within same building,W12 8HA,W12,34032427,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523148,179663,523150,179650,51.5024965,-0.2271191,London,Hammersmith,,,,,,,1,2,704,1
087707-12072021,12 Jul 2021,2021,18:28:17,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Non Residential,Other medical establishment (including surgery) ,Correct incident location,W12 8AA,W12,34030791,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523469,179942,523450,179950,51.5049376017,-0.2223990857,London,Hammersmith,,,,,,,1,3,1056,1
087719-12072021,12 Jul 2021,2021,18:29:48,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W12,0,21000272,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522950,179750,,,London,Hammersmith,,,,,,,1,2,704,1
087724-12072021,12 Jul 2021,2021,18:30:45,18,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,0,21001256,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013753,Wormholt,Wormholt,,,522150,180150,,,London,Acton,181,Hammersmith,,,1,1,1,1,352,1
087735-12072021,12 Jul 2021,2021,18:32:30,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W12,0,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523650,179950,,,London,Hammersmith,,,,,,,1,4,1408,2
087878-12072021,12 Jul 2021,2021,18:35:00,18,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000272,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522950,179750,,,London,Hammersmith,18,Twickenham,,,1,1,1,1,352,1
087752-12072021,12 Jul 2021,2021,18:35:05,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W12,0,21000235,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522650,179750,,,London,Hammersmith,,,,,,,1,3,1056,1
087753-12072021,12 Jul 2021,2021,18:35:08,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000093,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179550,,,London,Chiswick,,,,,,,1,5,1760,1
087755-12072021,12 Jul 2021,2021,18:35:27,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,0,21000724,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179750,,,London,Hammersmith,,,,,,,1,3,1056,2
087759-12072021,12 Jul 2021,2021,18:36:20,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Non Residential,Restaurant/cafe,Within same building,W12 8EG,W12,34030994,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,523136,179618,523150,179650,51.5020947,-0.2273076,London,Hammersmith,,,,,,,1,2,704,1
087796-12072021,12 Jul 2021,2021,18:42:45,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Other Dwelling ,Correct incident location,,W6,0,21000620,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523150,178950,,,London,Hammersmith,,,,,,,2,3,1056,1
087801-12072021,12 Jul 2021,2021,18:43:04,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,W6,0,21000502,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179250,,,London,Hammersmith,,,,,,,1,2,704,1
087831-12072021,12 Jul 2021,2021,18:48:51,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21000305,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522450,179750,,,London,Hammersmith,,,,,,,1,3,1056,1
087839-12072021,12 Jul 2021,2021,18:50:07,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W14,0,21000529,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,524250,179150,,,London,Hammersmith,,,,,,,1,3,1056,2
087849-12072021,12 Jul 2021,2021,18:50:59,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000686,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523750,179750,,,London,Hammersmith,,,,,,,1,4,1408,1
087860-12072021,12 Jul 2021,2021,18:53:02,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W12,0,21000093,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179550,,,London,Chiswick,,,,,,,1,5,1760,1
087865-12072021,12 Jul 2021,2021,18:53:45,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000549,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522550,179750,,,London,Hammersmith,,,,,,,1,11,3872,1
087875-12072021,12 Jul 2021,2021,18:54:58,18,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,W12 0NX,W12,34015917,21001256,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013753,Wormholt,Wormholt,522126,180176,522150,180150,51.5073304489,-0.2416513159,London,Acton,900,Paddington,,,1,1,1,1,352,1
087885-12072021,12 Jul 2021,2021,18:56:40,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W6,0,21000098,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179350,,,London,Hammersmith,,,,,,,1,11,3872,1
087887-12072021,12 Jul 2021,2021,18:57:14,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W14,0,21000539,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,,,523950,179250,,,London,Hammersmith,,,,,,,1,3,1056,1
087894-12072021,12 Jul 2021,2021,18:57:42,18,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Single shop ,Correct incident location,W12 8AA,W12,34115129,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523396,179956,523350,179950,51.5050758,-0.2234454,London,Hammersmith,,,,,,,1,4,1408,1
087900-12072021,12 Jul 2021,2021,18:58:48,18,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,521950,178950,,,London,Hammersmith,,,,,,,1,3,1056,1
087905-12072021,12 Jul 2021,2021,18:59:48,18,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W12,0,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523150,179650,,,London,Hammersmith,,,,,,,1,2,704,1
087906-12072021,12 Jul 2021,2021,19:00:07,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Within same building,,W6,0,21000677,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522550,178850,,,London,Hammersmith,,,,,,,1,3,1056,2
087908-12072021,12 Jul 2021,2021,19:00:46,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W14,0,21000132,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523750,179450,,,London,Hammersmith,,,,,,,1,3,1056,1
087921-12072021,12 Jul 2021,2021,19:02:45,19,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,W6 7LP,W6,34118359,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,523505,179180,523550,179150,51.4980778,-0.2221473,London,Hammersmith,531,Paddington,,,1,1,1,1,352,1
087924-12072021,12 Jul 2021,2021,19:03:11,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000791,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522750,179750,,,London,Hammersmith,,,,,,,1,4,1408,1
087947-12072021,12 Jul 2021,2021,19:06:28,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W12,0,21000868,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179650,,,London,Chiswick,,,,,,,1,5,1760,1
087959-12072021,12 Jul 2021,2021,19:08:40,19,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Restaurant/cafe,Correct incident location,W12 8LP,W12,34031083,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523642,179910,523650,179950,51.504610697,-0.2199180531,London,Hammersmith,,,,,,,1,4,1408,1
087972-12072021,12 Jul 2021,2021,19:12:27,19,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Purpose built office ,Correct incident location,W14 0AW,W14,34151885,21000695,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523653,179704,523650,179750,51.5027548,-0.2198327,London,Hammersmith,,,,,,,1,4,1408,1
087996-12072021,12 Jul 2021,2021,19:16:25,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,W12,0,21000897,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523850,179750,,,London,Hammersmith,,,,,,,1,4,1408,1
088013-12072021,12 Jul 2021,2021,19:20:02,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W12,0,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523350,179950,,,London,Hammersmith,,,,,,,1,4,1408,2
088028-12072021,12 Jul 2021,2021,19:22:26,19,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Single shop ,Correct incident location,W6 7PD,W6,34036062,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523483,179369,523450,179350,51.499781,-0.222398,London,Hammersmith,,,,,,,1,4,1408,1
088059-12072021,12 Jul 2021,2021,19:28:46,19,Special Service,Flood call attended - Batch mobilised,Flooding,Road Vehicle,Van ,Nearby address - no building in street,W6 0JZ,W6,34005260,21000499,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013741,Hammersmith Broadway,Hammersmith Broadway,522999,178662,522950,178650,51.4935395247,-0.2296093586,London,Hammersmith,,,,,,,1,4,1408,1
088094-12072021,12 Jul 2021,2021,19:36:38,19,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,0,21001256,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013753,Wormholt,Wormholt,,,522150,180150,,,London,Acton,141,Hammersmith,,,1,1,1,1,352,1
088107-12072021,12 Jul 2021,2021,19:39:58,19,Special Service,Flood call attended - Batch mobilised,Flooding,Other Residential,Hotel/motel ,Correct incident location,W14 0AX,W14,34141662,21000686,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,523832,179693,523850,179650,51.502623109,-0.2172588292,London,Hammersmith,,,,,,,1,4,1408,1
088120-12072021,12 Jul 2021,2021,19:42:52,19,Special Service,Flood call attended - Batch mobilised,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000478,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522650,178550,,,London,Hammersmith,,,,,,,1,4,1408,1
088127-12072021,12 Jul 2021,2021,19:45:06,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000620,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523150,178950,,,London,Hammersmith,,,,,,,1,4,1408,1
088132-12072021,12 Jul 2021,2021,19:46:07,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,House - single occupancy ,Correct incident location,,W6,0,21000553,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523350,179450,,,London,Hammersmith,,,,,,,1,4,1408,2
088146-12072021,12 Jul 2021,2021,19:49:39,19,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Restaurant/cafe,Correct incident location,W12 9PE,W12,34010781,21000380,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,522385,179373,522350,179350,51.5000573672,-0.2382072798,London,Hammersmith,,,,,,,1,4,1408,1
088159-12072021,12 Jul 2021,2021,19:54:50,19,Special Service,Flood call attended - Batch mobilised,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W12,0,21000133,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522550,179850,,,London,Hammersmith,,,,,,,1,4,1408,2
